label group Pseudotime
RamDA_12h_B02 12h 0.440095603546392
RamDA_12h_E02 12h 0.441647044268497
RamDA_12h_F02 12h 0.442670976855789
RamDA_12h_B11 12h 0.446081073991988
RamDA_12h_G01 12h 0.447111049986579
RamDA_12h_H06 12h 0.449226026127253
RamDA_12h_D02 12h 0.45274714705519
RamDA_24h_D07 24h 0.453218551364438
RamDA_12h_G06 12h 0.461930113739589
RamDA_12h_F11 12h 0.468051021485636
RamDA_12h_E11 12h 0.468925209141951
RamDA_12h_G07 12h 0.47729065082031
RamDA_12h_B08 12h 0.487421995869393
RamDA_12h_C04 12h 0.491132760254961
RamDA_24h_E07 24h 0.494685327992573
RamDA_48h_C05 48h 0.494761443249382
RamDA_12h_E07 12h 0.507977566853395
RamDA_12h_F01 12h 0.51306477704007
RamDA_24h_G08 24h 0.522447849913005
RamDA_24h_B02 24h 0.539610852361434
RamDA_24h_G07 24h 0.565251182948005
RamDA_24h_D12 24h 0.567651194407657
RamDA_12h_C07 12h 0.610935949630087
RamDA_24h_B05 24h 0.611788295801639
RamDA_24h_E08 24h 0.619017096720494
RamDA_24h_H08 24h 0.62837577021877
RamDA_24h_A05 24h 0.638546243744473
RamDA_24h_D11 24h 0.643276530978976
RamDA_24h_D05 24h 0.646396646646353
RamDA_24h_H02 24h 0.65726062030903
RamDA_24h_A06 24h 0.664934232251095
RamDA_12h_B07 12h 0.670307771871055
RamDA_48h_C06 48h 0.672056484368417
RamDA_24h_H04 24h 0.689820036930906
RamDA_24h_E01 24h 0.691245975821118
RamDA_24h_A10 24h 0.711194838854292
RamDA_24h_H06 24h 0.717183291578955
RamDA_24h_F06 24h 0.721094617694776
RamDA_24h_F08 24h 0.722938699291855
RamDA_24h_D09 24h 0.725248950620973
RamDA_24h_A09 24h 0.73220920949926
RamDA_24h_D06 24h 0.732809777613817
RamDA_24h_E04 24h 0.734999778254284
RamDA_24h_G05 24h 0.73527085766778
RamDA_24h_B10 24h 0.738293634716162
RamDA_24h_B04 24h 0.741315316475255
RamDA_24h_E09 24h 0.7440740879782
RamDA_24h_F09 24h 0.760621675814724
RamDA_24h_H03 24h 0.760907486143263
RamDA_24h_E12 24h 0.761601263889931
RamDA_24h_B12 24h 0.768269368200184
RamDA_24h_B03 24h 0.770956006533677
RamDA_24h_B11 24h 0.774110442989041
RamDA_24h_H09 24h 0.775796494640508
RamDA_24h_H12 24h 0.776520288607568
RamDA_24h_G03 24h 0.779224932828004
RamDA_24h_C09 24h 0.787053162805024
RamDA_24h_D02 24h 0.787119487139022
RamDA_24h_H11 24h 0.793415989499579
RamDA_24h_C06 24h 0.801283934611596
RamDA_24h_F10 24h 0.801684267043841
RamDA_24h_H07 24h 0.802060257368244
RamDA_24h_C10 24h 0.806765600877093
RamDA_24h_F05 24h 0.807234203030697
RamDA_24h_G01 24h 0.811586901342816
RamDA_24h_H01 24h 0.814318378748892
RamDA_24h_A11 24h 0.815389527753627
RamDA_24h_B08 24h 0.818062110926693
RamDA_24h_F11 24h 0.81987536163205
RamDA_24h_D03 24h 0.824404533552964
RamDA_24h_C08 24h 0.825370983859083
RamDA_24h_D01 24h 0.838703973190522
RamDA_24h_B09 24h 0.839379488103875
