transcript_id	cluster
ENSMUST00000007959.13	4
ENSMUST00000007980.6	5
ENSMUST00000008016.2	3
ENSMUST00000008036.7	6
ENSMUST00000008537.8	4
ENSMUST00000008733.14	6
ENSMUST00000008748.7	2
ENSMUST00000008893.8	4
ENSMUST00000008907.13	1
ENSMUST00000009036.9	6
ENSMUST00000009039.5	5
ENSMUST00000009138.11	2
ENSMUST00000009174.14	7
ENSMUST00000009234.15	7
ENSMUST00000009435.11	4
ENSMUST00000009530.4	1
ENSMUST00000009693.14	4
ENSMUST00000009728.12	2
ENSMUST00000009774.9	4
ENSMUST00000009789.14	1
ENSMUST00000010007.8	2
ENSMUST00000010038.9	7
ENSMUST00000010192.10	6
ENSMUST00000010241.13	7
ENSMUST00000010248.3	2
ENSMUST00000010249.5	4
ENSMUST00000010278.11	7
ENSMUST00000010348.5	1
ENSMUST00000010421.6	6
ENSMUST00000010550.11	2
ENSMUST00000010974.7	1
ENSMUST00000011400.7	1
ENSMUST00000011877.12	1
ENSMUST00000011896.6	2
ENSMUST00000012540.4	2
ENSMUST00000012587.3	6
ENSMUST00000012627.4	1
ENSMUST00000013304.7	4
ENSMUST00000013338.13	7
ENSMUST00000013559.2	4
ENSMUST00000013759.5	7
ENSMUST00000013773.11	7
ENSMUST00000013807.7	4
ENSMUST00000013910.4	5
ENSMUST00000013966.6	6
ENSMUST00000013970.7	4
ENSMUST00000014221.12	4
ENSMUST00000014321.4	4
ENSMUST00000014370.10	6
ENSMUST00000014389.5	5
ENSMUST00000014438.4	1
ENSMUST00000014457.14	5
ENSMUST00000014499.9	4
ENSMUST00000014640.7	7
ENSMUST00000014684.4	5
ENSMUST00000014750.14	4
ENSMUST00000014892.7	4
ENSMUST00000014913.9	4
ENSMUST00000014922.4	7
ENSMUST00000015000.11	4
ENSMUST00000015003.8	5
ENSMUST00000015011.9	4
ENSMUST00000015100.14	2
ENSMUST00000015146.15	4
ENSMUST00000015157.8	4
ENSMUST00000015236.3	1
ENSMUST00000015277.13	4
ENSMUST00000015391.9	4
ENSMUST00000015467.8	4
ENSMUST00000015622.7	2
ENSMUST00000015719.14	4
ENSMUST00000015791.5	6
ENSMUST00000015816.3	7
ENSMUST00000015855.7	4
ENSMUST00000015858.11	1
ENSMUST00000015877.13	7
ENSMUST00000015903.10	4
ENSMUST00000015948.13	4
ENSMUST00000015950.11	5
ENSMUST00000016033.7	1
ENSMUST00000016072.11	4
ENSMUST00000016105.8	5
ENSMUST00000016138.9	4
ENSMUST00000016396.7	6
ENSMUST00000016400.8	4
ENSMUST00000016401.14	5
ENSMUST00000016463.3	6
ENSMUST00000016511.5	1
ENSMUST00000016672.10	1
ENSMUST00000016680.13	4
ENSMUST00000016703.7	4
ENSMUST00000016771.12	4
ENSMUST00000017065.14	7
ENSMUST00000017090.5	7
ENSMUST00000017153.3	4
ENSMUST00000017288.8	7
ENSMUST00000017290.10	5
ENSMUST00000017365.14	7
ENSMUST00000017530.3	1
ENSMUST00000017548.6	3
ENSMUST00000017567.13	6
ENSMUST00000017572.13	6
ENSMUST00000017604.8	4
ENSMUST00000017610.9	1
ENSMUST00000017629.10	4
ENSMUST00000017692.14	5
ENSMUST00000017759.8	4
ENSMUST00000017821.11	7
ENSMUST00000017851.3	4
ENSMUST00000017859.9	7
ENSMUST00000017900.7	2
ENSMUST00000017920.13	4
ENSMUST00000017922.8	5
ENSMUST00000017975.5	4
ENSMUST00000018005.9	5
ENSMUST00000018143.15	6
ENSMUST00000018186.15	1
ENSMUST00000018353.13	6
ENSMUST00000018383.9	5
ENSMUST00000018430.6	6
ENSMUST00000018431.12	4
ENSMUST00000018437.2	4
ENSMUST00000018449.10	5
ENSMUST00000018470.9	4
ENSMUST00000018568.3	7
ENSMUST00000018569.13	7
ENSMUST00000018577.7	5
ENSMUST00000018625.9	4
ENSMUST00000018727.3	6
ENSMUST00000018737.12	4
ENSMUST00000018744.14	2
ENSMUST00000018748.8	6
ENSMUST00000018803.11	4
ENSMUST00000018851.13	4
ENSMUST00000018905.11	6
ENSMUST00000018909.3	7
ENSMUST00000018914.2	7
ENSMUST00000018965.3	1
ENSMUST00000018992.3	6
ENSMUST00000019050.11	1
ENSMUST00000019065.9	5
ENSMUST00000019169.7	5
ENSMUST00000019198.6	1
ENSMUST00000019199.13	4
ENSMUST00000019231.11	4
ENSMUST00000019276.10	7
ENSMUST00000019283.9	6
ENSMUST00000019302.8	6
ENSMUST00000019354.10	4
ENSMUST00000019362.14	1
ENSMUST00000019382.15	3
ENSMUST00000019405.2	7
ENSMUST00000019470.13	6
ENSMUST00000019514.9	4
ENSMUST00000019517.9	6
ENSMUST00000019576.14	7
ENSMUST00000019577.8	3
ENSMUST00000019614.12	6
ENSMUST00000019615.9	6
ENSMUST00000019649.3	5
ENSMUST00000019683.9	4
ENSMUST00000019701.8	4
ENSMUST00000019723.7	4
ENSMUST00000019726.6	3
ENSMUST00000019833.4	5
ENSMUST00000019859.8	4
ENSMUST00000019907.7	5
ENSMUST00000019911.13	2
ENSMUST00000019917.5	7
ENSMUST00000019939.11	4
ENSMUST00000019950.4	6
ENSMUST00000019962.14	4
ENSMUST00000019982.7	6
ENSMUST00000020002.7	4
ENSMUST00000020018.11	4
ENSMUST00000020027.10	4
ENSMUST00000020081.10	1
ENSMUST00000020085.6	4
ENSMUST00000020106.7	4
ENSMUST00000020112.5	4
ENSMUST00000020118.4	2
ENSMUST00000020123.5	6
ENSMUST00000020145.11	6
ENSMUST00000020153.8	6
ENSMUST00000020171.11	1
ENSMUST00000020203.6	5
ENSMUST00000020217.5	7
ENSMUST00000020234.13	1
ENSMUST00000020238.13	4
ENSMUST00000020249.1	1
ENSMUST00000020251.9	4
ENSMUST00000020257.12	2
ENSMUST00000020258.8	2
ENSMUST00000020268.5	7
ENSMUST00000020270.4	4
ENSMUST00000020271.12	4
ENSMUST00000020277.8	1
ENSMUST00000020285.8	4
ENSMUST00000020286.6	7
ENSMUST00000020288.13	1
ENSMUST00000020298.6	4
ENSMUST00000020301.13	1
ENSMUST00000020317.7	6
ENSMUST00000020334.7	7
ENSMUST00000020343.7	4
ENSMUST00000020361.6	4
ENSMUST00000020372.5	4
ENSMUST00000020381.3	4
ENSMUST00000020382.6	4
ENSMUST00000020397.9	5
ENSMUST00000020403.5	1
ENSMUST00000020420.7	4
ENSMUST00000020440.6	4
ENSMUST00000020446.10	4
ENSMUST00000020484.6	7
ENSMUST00000020488.7	4
ENSMUST00000020490.11	2
ENSMUST00000020493.7	1
ENSMUST00000020504.5	4
ENSMUST00000020522.8	4
ENSMUST00000020562.4	6
ENSMUST00000020576.7	4
ENSMUST00000020579.8	6
ENSMUST00000020608.2	4
ENSMUST00000020629.4	2
ENSMUST00000020630.7	6
